miRNA	Estimate	StdError	tValue	pValue	Disease	nRgene
hsa-miR-27a-3p	-0.260587783819396	0.0737972414716155	-3.53113176892426	0.000487553813663456	CESC	ADORA2B
hsa-miR-23a-3p	-0.26905023762647	0.0934700503718352	-2.87846466922994	0.00432968701562778	CESC	ADRA2A
hsa-let-7f-5p	-0.313389331990902	0.150810582022581	-2.07803277321731	0.0387607071272219	CESC	ADRB1
hsa-miR-497-5p	-0.385725348636725	0.185005674168285	-2.08493793701626	0.0380659371574206	CESC	ADRB2
hsa-miR-152-3p	-0.296587931143797	0.108778948395448	-2.72651956576745	0.00682601389240409	CESC	CHRNB2
hsa-miR-497-5p	-0.172289587320289	0.0652001696313986	-2.64247145819264	0.00872194074098352	CESC	CHRNE
hsa-miR-16-5p	-0.31219608264436	0.0967636802294249	-3.22637669324016	0.00141183808512681	CESC	CHRNE
hsa-miR-182-5p	-0.42494170958622	0.0933486108803841	-4.55220174760539	8.1342594852036e-06	CESC	GABBR1
hsa-miR-15b-5p	-0.457634725276299	0.193339840336762	-2.36699649942393	0.018660465342047	CESC	GABBR1
hsa-miR-27a-3p	-0.451895521117688	0.211205799703665	-2.13959806857447	0.0333293902925545	CESC	GABRB3
hsa-miR-146b-5p	-0.573952446728222	0.252760661572498	-2.27073486498055	0.0239974700155814	CESC	GRID1
hsa-miR-181b-5p	-1.25588431395979	0.573103706312677	-2.19137356838973	0.0293296934926799	CESC	GRID1
hsa-miR-92a-3p	-0.233303921867457	0.116990535189927	-1.99421193764694	0.0471496034840911	CESC	GRM2
hsa-miR-24-3p	-0.443800636086711	0.109892900468832	-4.0384832340701	7.01578017203382e-05	CESC	HRH1
hsa-miR-29a-3p	-0.309072941970077	0.139198040226262	-2.22038285501497	0.0272324938584052	CESC	HTR7
hsa-let-7c-5p	-0.241103326503509	0.0998904583247408	-2.41367724752738	0.0164788511040745	CESC	P2RX1
hsa-miR-320b	-1.04915583417186	0.382460777009868	-2.74317236495283	0.00650161555682326	CESC	P2RX7
hsa-miR-15a-5p	-0.71318120451763	0.310252581249881	-2.29871159055153	0.0223435179935143	CESC	P2RY2
hsa-miR-421	-0.542276681582704	0.22850166962404	-2.37318476698629	0.0183892144045885	CESC	P2RY2
hsa-miR-134-5p	-0.394466716526881	0.155553134863547	-2.5358969259791	0.0118233775216628	CESC	P2RY2
hsa-miR-30b-5p	-0.609399739605686	0.269791168312534	-2.25878312999386	0.0336842505803547	CHOL	ADRA2A
hsa-let-7a-5p	-2.90847148254304	1.16029424876691	-2.50666715415852	0.0461105436383863	CHOL	ADRB1
hsa-miR-148b-3p	-0.957284197514334	0.395968486252135	-2.41757672832776	0.0219089089700922	CHOL	CHRNB2
hsa-miR-182-5p	-1.30422754149192	0.599390067076101	-2.17592451582339	0.0388370130456078	CHOL	GABBR1
hsa-miR-381-3p	-2.07689841080757	0.788777412062588	-2.63306020056616	0.0155461514780996	CHOL	GABRB3
hsa-miR-15a-5p	-0.664510361627411	0.268638442305743	-2.47362349157429	0.0205205374377328	CHOL	GRIN1
hsa-miR-98-5p	-1.88482632940588	0.61437869734335	-3.06785755683929	0.00498841469477981	CHOL	P2RX1
