numOfgainMut	numOfHotMutPosi	gainMf	numOfLofMut	lofMf	numOfNonsMut
GABRR2	0	0	0	3	0.107142857142857	28
GABRR3	0	0	0	3	0.6	5
GLRA1	8	4	0.153846153846154	6	0.115384615384615	52
GLRA2	12	6	0.206896551724138	6	0.103448275862069	58
GLRA3	12	6	0.193548387096774	8	0.129032258064516	62
GLRB	9	4	0.160714285714286	6	0.107142857142857	56
GRIA1	44	18	0.255813953488372	17	0.0988372093023256	172
GRIA2	21	8	0.138157894736842	16	0.105263157894737	152
GRIA3	23	10	0.178294573643411	16	0.124031007751938	129
GRIA4	14	7	0.113821138211382	16	0.130081300813008	123
GRID1	38	16	0.23030303030303	15	0.0909090909090909	165
GRID2	62	27	0.293838862559242	19	0.0900473933649289	211
GRIK1	26	12	0.213114754098361	10	0.0819672131147541	122
GRIK2	40	19	0.229885057471264	21	0.120689655172414	174
GRIK3	27	12	0.21259842519685	10	0.078740157480315	127
GRIK4	14	6	0.12962962962963	14	0.12962962962963	108
GRIK5	7	3	0.0897435897435897	4	0.0512820512820513	78
GRIN1	4	2	0.0701754385964912	4	0.0701754385964912	57
GRIN2A	89	36	0.2996632996633	24	0.0808080808080808	297
GRIN2B	31	14	0.139013452914798	13	0.0582959641255605	223
GRIN2C	2	1	0.0416666666666667	3	0.0625	48
GRIN2D	11	5	0.159420289855072	6	0.0869565217391304	69
GRIN3A	45	19	0.257142857142857	16	0.0914285714285714	175
GRIN3B	6	3	0.15	2	0.05	40
GRM1	38	16	0.190954773869347	17	0.085427135678392	199
GRM2	19	9	0.25	7	0.0921052631578947	76
GRM3	54	25	0.291891891891892	19	0.102702702702703	185
GRM4	25	11	0.247524752475248	5	0.0495049504950495	101
GRM5	31	13	0.183431952662722	15	0.0887573964497041	169
GRM6	21	10	0.189189189189189	18	0.162162162162162	111
GRM7	48	21	0.271186440677966	23	0.129943502824859	177
GRM8	49	22	0.223744292237443	26	0.118721461187215	219
HRH1	6	3	0.153846153846154	1	0.0256410256410256	39
HRH2	8	4	0.195121951219512	0	0	41
HRH3	0	0	0	2	0.0740740740740741	27
HRH4	8	4	0.222222222222222	4	0.111111111111111	36
HTR1A	15	7	0.168539325842697	8	0.0898876404494382	89
HTR1B	13	6	0.30952380952381	3	0.0714285714285714	42
HTR1D	8	4	0.25	3	0.09375	32
