ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0001578	microtubule bundle formation	34/1875	125/18870	3.37836572861904e-08	2.40412951162853e-06	1.80698114300479e-06	PSRC1/IFT56/FOXJ1/LRGUK/DNAI4/RSPH4A/SPAG17/DCX/JHY/TTC12/DNAAF3/CCDC65/CCDC40/DNAI3/CFAP206/SPAG1/CFAP100/HOATZ/CCDC103/DRC1/CFAP73/DRC7/SPEF1/CFAP157/ZMYND10/GAS2L2/DNAH5/TPPP3/CFAP43/LRRC61/KIF20A/RSPH1/CFAP91/NEURL1	34
GO:0061448	connective tissue development	59/1875	285/18870	3.61749960766124e-08	2.54252163782906e-06	1.91099881808225e-06	TIMP1/SERPINH1/CHI3L1/BMP2/WNT7B/NOG/SHOX2/HOXA5/HOXB3/HOXA3/LOX/SOX8/SMPD3/SOX6/OSR2/GATA3/BGN/CCN4/SULF2/HMGA2/COL5A1/SFRP2/HOXC4/COL1A1/PRKG2/EVC/CNMD/RUNX1/SNAI1/NKX3-2/ADAMTS7/CD44/WT1/PDGFD/ITGB3/SPI1/GDF5/COL3A1/RUNX3/LOXL2/PITX1/CYTL1/FGF9/TYMS/MGP/HOXA11/HAND2/SCIN/EFEMP1/COL27A1/RXFP1/HES5/STC1/TGFBI/FGFR3/CCN1/MSX2/SULF1/HOXD3	59
GO:0009952	anterior/posterior pattern specification	49/1875	219/18870	4.10933747011924e-08	2.85298270943766e-06	2.14434618947814e-06	BMP2/RIPPLY2/NOG/HOXA5/HOXB3/HOXA3/HOXA4/HOXC10/MEOX2/HOXA7/HOXA6/HOXC9/EN1/HOXA2/HOXB4/HOXC11/HOXC6/HOXC13/HOXA9/FEZF1/HOXC8/HOXB2/HOXD13/BASP1/HOXD10/DLL3/HOXB7/CRB2/HOXA10/SFRP2/GATA4/HOXC4/HOXB8/NEUROD1/OTX1/HOXD9/DLL1/WT1/HOXC5/HOXB5/HOXA11/ARC/PCSK6/HES5/LEFTY2/MSX2/HOXD3/HOXD4/HOXD8	49
GO:0031589	cell-substrate adhesion	69/1875	356/18870	4.20743241990872e-08	2.88335808716939e-06	2.16717679594397e-06	PDPN/TRIP6/FERMT1/EMILIN1/MMP14/MICALL2/EFEMP2/GBP1/EPHB1/CAMSAP3/HOXA7/LAMC1/PLAU/COL8A1/NPNT/FLNA/ECM2/ACTN1/PRKCE/ITGA5/EPHA1/CD96/CD3E/L1CAM/FBLN5/POSTN/RHOD/RAC2/SERPINE1/ITGA7/COL1A1/NTN4/ANGPT1/MYO1G/AJUBA/SKAP1/PARVG/BST1/FERMT3/NEXMIF/ITGAL/ITGB4/ITGA2/ITGB7/CD44/ITGB2/ITGB3/VWC2/COL3A1/ONECUT2/LYVE1/LAMB1/S100A10/SPRY4/ITGAX/AJAP1/SDC4/KIF14/COL26A1/VCAM1/ANGPT2/MSLN/PPFIA2/MADCAM1/CCN1/OLFM4/HOXD3/SEMA3E/NDNF	69
GO:0006887	exocytosis	68/1875	349/18870	4.25438396842137e-08	2.88335808716939e-06	2.16717679594397e-06	ANXA1/ANXA2/KCNB1/SMPD3/BRSK2/RIMS2/STX1B/IL1RAPL1/RAB3C/KLRC2/UNC13A/CPLX1/SYTL3/CPLX2/RAPGEF4/CCL5/CHGA/RAC2/IL13RA2/PRAM1/SYP/CEACAM1/FCGR3A/ADGRE2/CDK5R2/STXBP1/ARHGAP44/MYO1G/S100A13/NKG7/VAMP8/ANK1/SYN1/RAB27B/SDC1/FCGR2B/ITGB2/SPI1/MILR1/STXBP6/CCR2/ERC2/CADPS/WIPF3/LAT2/RIMS1/S100A10/EXOC3L2/SNAP25/PRKCB/SYT4/RAB3A/SYT13/SCIN/SYN2/SDC4/SYT10/PPFIA2/F2RL1/UNC13C/STXBP5L/SV2B/PRKCG/SYNGR3/RPH3A/DOC2A/VSNL1/SYT1	68
GO:0046631	alpha-beta T cell activation	43/1875	181/18870	4.4576066227566e-08	2.9855475886298e-06	2.24398401504713e-06	ANXA1/SOCS1/TNFRSF14/PTPN22/GATA3/HFE/IL2RG/TOX/TCIRG1/CD3E/CD3D/ZNF683/CD247/ELF4/ASCL2/HLA-DRA/IL15/ZAP70/HLA-DRB1/IRF1/EOMES/SLAMF6/ITK/BATF/LGALS9C/RUNX1/CD3G/CD80/NKG7/DAPL1/SOCS3/SPN/IL18/SASH3/RUNX3/PTGER4/CCR2/LILRB1/PTPRC/JAK3/LILRB4/RSAD2/IL6	43
GO:0006836	neurotransmitter transport	47/1875	207/18870	4.79990811691823e-08	3.1774275476297e-06	2.38820397738955e-06	SLC1A6/SLC1A1/ABCC8/RIMS2/STX1B/ASIC1/GPR158/UNC13A/CPLX1/HRH3/NRXN1/CPLX2/SYN3/MYOF/SYP/GDNF/STXBP1/GRM4/SYN1/ITGB3/SLC38A1/KMO/ERC2/CADPS/RIMS1/SNAP25/PRKCB/SYT4/RAB3A/SYN2/PPFIA2/SLC17A6/UNC13C/SNCG/SLC6A17/SLC17A8/SV2B/SLC17A7/PRKCG/SYNGR3/CAMK2A/RPH3A/DOC2A/SLC6A15/SLC6A7/SYT1/SLC32A1	47
GO:0051966	regulation of synaptic transmission, glutamatergic	25/1875	79/18870	8.88036226461622e-08	5.81102326120231e-06	4.36765548767876e-06	CACNG2/OPHN1/TNR/GRIK2/MAPK8IP2/UNC13A/NRXN1/FRRS1L/HTR2A/GRIN1/DGKI/GRIK1/STXBP1/GRM4/ROR2/KMO/CCR2/CACNG4/GRIN2B/GRM1/CCL2/CACNG8/CACNG3/GRM5/SYT1	25
GO:0051960	regulation of nervous system development	83/1875	466/18870	9.64364521306931e-08	6.23878093159131e-06	4.68916480755105e-06	CBLN1/BMP2/SEMA4G/MAPT/ANXA2/NOG/CUX2/MAP2/OTP/SHOX2/CLCF1/SLITRK5/DMRTA2/HOXB3/ABCC8/SEMA6B/TNR/SOX8/LRRTM3/EPHB1/SLIT1/DSCAM/SLITRK1/LRRTM2/ADGRB3/IL1RAPL1/SRPX2/TYMP/DUSP10/FEZF1/GSX2/L1CAM/NRXN1/DLL3/FGF13/LRP4/ZNF488/OLIG2/ASCL2/SPP1/AMIGO2/LIF/GRID2/CBLN2/CHODL/TSPO/CST7/RTN4R/DLL1/CTSC/MCF2/SERPINF1/HAPLN1/LRRTM1/WDR62/BRINP1/TLR2/TREM2/SPINT1/ADGRB1/S100A10/LRTM2/IL1RAP/ITGAX/SYT4/MME/SEMA3D/RASSF10/ST8SIA2/ASPM/KIF14/SEMA3A/DCC/NR2E1/IL6/HES5/NEURL1/GRM5/ASIC2/SLITRK4/FSTL4/SEMA3E/NEFL	83
GO:0042060	wound healing	77/1875	423/18870	1.11677542826157e-07	7.14359832931814e-06	5.36923964031141e-06	PDPN/ANXA1/TIMP1/CLIC1/MYL12A/TGFB2/ANXA2/FERMT1/TNFRSF12A/ANXA5/NOG/EMILIN1/PLSCR1/SERPING1/VAV3/HSPB1/F2RL2/TMEFF2/F11R/PLAU/PLAT/FLNA/EMILIN2/F3/SAA1/CD109/PDGFA/PRKCE/SERPINA1/CCN4/ITGA5/FKBP10/PLAUR/FZD6/LCK/AQP1/COL5A1/SLC11A1/SERPINE1/MYOF/GATA4/CEACAM1/NFATC1/DGKI/CD40LG/PROC/STXBP1/FCER1G/DGKB/AJUBA/FAP/FERMT3/DGKK/ITGA2/F7/CD44/ITGB3/ALOX5/COL3A1/CLEC7A/PDGFRA/S100A10/ADAMTS18/AJAP1/RAB3A/F5/SDC4/CAV1/TFPI/F2RL1/IL6/MMRN1/CARMIL2/PDIA2/CCN1/MSX2/NDNF	77
GO:0006821	chloride transport	33/1875	125/18870	1.16390280287431e-07	7.3623318408483e-06	5.53364315050771e-06	CLIC1/GABRB3/SLC1A1/GLRA3/GABRA3/SLC25A27/BEST4/APOL1/GABRG2/PRKG2/GABRD/TSPO/UCP2/P2RY6/NMUR2/GABRG1/BEST3/GLRA1/CLIC6/CA2/GABRB1/SLC17A6/ANO3/ANO4/FXYD3/GABRA1/SLC12A5/GABRB2/SLC17A8/GABRA4/SLC4A10/SLC17A7/GABRA5	33
