geneID	logFC	AveExpr	t	P.Value	adj.P.Val	B	DISEASE	Approved.symbol	status
152	-2.50437699698754	7.27393523968415	-8.06449384190913	2.43614348373253e-09	3.4012478263505e-08	11.1281675036182	KIRP	ADRA2C	Down
152	-1.09910999117348	5.48097235168644	-5.75669071795325	8.31710055916728e-08	1.900437785969e-07	6.8726967812793	BRCA	ADRA2C	Down
152	1.37456955470278	4.98200170205196	6.5005815986119	2.11293060837299e-08	8.25172458777545e-08	8.68209095299909	THCA	ADRA2C	Up
153	-1.40791940199385	4.57434352742824	-3.87786312030285	0.000775783634827679	0.0022353194844106	-1.16252829555905	COAD	ADRB1	Down
153	-2.43815376331963	4.2395609987845	-8.50113343886959	1.23770190880926e-13	4.87247594459301e-13	20.1187962099342	BRCA	ADRB1	Down
153	-1.58389184436864	3.90897673606899	-5.30407013523272	2.74401213827947e-06	1.18379240328236e-05	3.95097349500448	LIHC	ADRB1	Down
153	-3.31265152647436	3.5763182190465	-10.7244938358887	2.39965075800221e-12	1.03942767043991e-10	18.0698234245984	KIRP	ADRB1	Down
153	-4.17427747730288	6.92040410021166	-15.1251432413369	9.4792279252293e-22	4.04506356262399e-20	39.2047463709383	LUAD	ADRB1	Down
153	-4.27636441412874	6.63880750418618	-14.9514807227513	7.40503681344737e-20	1.30200499415411e-18	34.872097418603	LUSC	ADRB1	Down
153	-3.01058272291954	3.69748816098714	-14.2288227306194	5.5130031112073e-22	1.26799071557768e-20	39.6241544205564	KIRC	ADRB1	Down
153	-1.15428521986248	3.46569991579394	-3.64748536447417	0.000691544432431867	0.00191862460478213	-1.11078079543245	HNSC	ADRB1	Down
153	1.88517668570617	8.50868498959167	6.44128667480619	4.36109969793614e-08	3.2926811006096e-07	8.27436007159687	PRAD	ADRB1	Up
154	1.06444340759151	6.38464608006656	2.73701819978629	0.0110840503201016	0.0194321800331496	-3.99979005691938	KICH	ADRB2	Up
154	-1.97803413387994	6.29266693400799	-6.4152672354268	4.96357109308572e-05	0.00297523948011279	2.35097321140118	ESCA	ADRB2	Down
154	-2.42076516279685	6.21273824075657	-8.81475297463451	7.30967091856541e-10	3.02896603379523e-07	12.6008081158069	STAD	ADRB2	Down
154	-3.45845130832401	8.01454938143261	-18.5976356205796	4.60731409485744e-26	7.8854428438544e-24	49.1051898278367	LUAD	ADRB2	Down
154	-1.87731522645269	6.52688705417069	-4.91084676560639	8.04148364489867e-05	0.000604987885737362	1.35256528026813	BLCA	ADRB2	Down
154	-1.40183859774934	7.6227380520525	-4.54281861900559	3.66823886376299e-05	0.000120668340102874	1.41633728656278	LIHC	ADRB2	Down
154	-1.58035413646085	5.00190028182416	-3.21939700792841	0.00459729827371821	0.012903383319828	-2.84258349785699	UCEC	ADRB2	Down
154	-2.13828634444319	4.81511143391131	-7.29199707047418	2.19030556683229e-07	2.6013652103473e-06	6.99225606094203	COAD	ADRB2	Down
154	1.07051249298425	8.70043819946522	4.34110990423712	6.83890036383856e-05	0.000222267692940729	1.10176036576213	PRAD	ADRB2	Up
154	-3.08178017897275	6.76214466775029	-18.9608190537589	5.78064853621017e-36	3.59574403478948e-34	71.3863496745971	BRCA	ADRB2	Down
154	-1.02897361232116	8.70582558605205	-3.54849582174162	0.000927974385386195	0.0024766183885862	-1.38991663872067	HNSC	ADRB2	Down
154	-3.52253096499024	7.85401673807867	-14.0356377437597	9.1615086846352e-19	1.31195092697992e-17	32.341231127924	LUSC	ADRB2	Down
1812	-1.26327096824752	3.81290979875995	-4.87447246916181	8.89208811151235e-06	2.02627582635565e-05	2.56743479421932	LUAD	DRD1	Down
1812	-1.86999029599363	3.59949693015339	-7.00675299820002	6.58410456065438e-09	1.90269361858118e-08	9.5429425541129	LUSC	DRD1	Down
1812	-1.71460251864567	3.29939749589972	-8.56835341962166	2.17546346412535e-12	9.30553478031674e-12	17.5569992345986	KIRC	DRD1	Down
