name	SFE_1.x	SFE_2.x	type_1.x	type_2.x	int_type.x	support_1.x	support_2.x	freq_1.x	freq_2.x	overlap.x	max_overlap.x	freq_overlap.x	r_overlap.x	r_freq_overlap.x	diff_overlap.x	abs_diff_overlap.x	direction.x	wMI_stat.x	wMI_p.value.x	ME_p.value.x	E.r.wMI_stat.x	MI_diff.x	APC.x	FDR.x	APC_good.x	PartnerA	PartnerB	SFE_1_location	SFE_2_location	SFE_1_location_1	SFE_2_location_1	SFE_1_location_2	SFE_2_location_2	SFE_1_location_2_subloca	SFE_2_location_2_subloca	gene1	gene2	p.value	q.value	expect_freq.x	SFE_1.y	SFE_2.y	type_1.y	type_2.y	int_type.y	support_1.y	support_2.y	freq_1.y	freq_2.y	overlap.y	max_overlap.y	freq_overlap.y	r_overlap.y	r_freq_overlap.y	diff_overlap.y	abs_diff_overlap.y	direction.y	wMI_stat.y	wMI_p.value.y	ME_p.value.y	E.r.wMI_stat.y	MI_diff.y	APC.y	FDR.y	APC_good.y	expect_freq.y
GRM3_AMP - ARAF_AMP	GRM3_AMP	ARAF_AMP	AMP	AMP	AMP - AMP	102	68	0.0139287177386317	0.00928581182575447	0	37	0	3.157	0.0853243243243243	-3.157	3.157	ME	0.0043000548890495	0.031	0.031	0.000838349872542832	0.00346170501650667	0.00303984498902407	TRUE	TRUE	GRM3	ARAF	7q21.11-q21.12	Xp11.3	7q21	Xp11	7q	Xp	21	11	ARAF_AMP	GRM3_AMP	0.173743883513008	0.235687355026341	0.000129339451894982	GRM3_AMP	ARAF_AMP	AMP	AMP	AMP - AMP	88	61	0.0231761917303134	0.0160653147221491	0	34	0	3.056	0.0898823529411765	-3.056	3.056	ME	0.00890707104682836	0.034	0.034	0.00250607763584937	0.00640099341097899	0.00418948219303673	TRUE	FALSE	0.000372332814208353
GRM3_AMP - BRAF_AMP	GRM3_AMP	BRAF_AMP	AMP	AMP	AMP - AMP	102	79	0.0139287177386317	0.0107879284446265	12	41	0.292682926829268	4.005	0.0976829268292683	7.995	7.995	CO	0.00352451301469103	0.013	0	0.000592731165487637	0.0029317818492034	0.00306901920273911	TRUE	TRUE	GRM3	BRAF	7q21.11-q21.12	7q34	7q21	7q34	7q	7q	21	34	BRAF_AMP	GRM3_AMP	1.53301605132494e-06	1.03978480002909e-05	0.000150262010289759	GRM3_AMP	BRAF_AMP	AMP	AMP	AMP - AMP	88	72	0.0231761917303134	0.0189623386884382	11	37	0.297297297297297	3.75	0.101351351351351	7.25	7.25	CO	0.00233455136706273	0.251	0	0.00361481826658061	-0.00128026689951788	-0.000262815608500124	FALSE	FALSE	0.000439474797098384
GRM3_AMP - CDK12_AMP	GRM3_AMP	CDK12_AMP	AMP	AMP	AMP - AMP	102	221	0.0139287177386317	0.030178888433702	3	66	0.0454545454545455	9.778	0.148151515151515	-6.778	6.778	ME	0.00416302213593139	0.008	0.008	0.000661720703171886	0.00350130143275951	0.00231275582061131	TRUE	FALSE	GRM3	CDK12	7q21.11-q21.12	17q12	7q21	17q12	7q	17q	21	12	CDK12_AMP	GRM3_AMP	0.191800105636734	0.247279475035789	0.000420353218658692	GRM3_AMP	CDK12_AMP	AMP	AMP	AMP - AMP	88	184	0.0231761917303134	0.0484593099815644	3	56	0.0535714285714286	8.847	0.157982142857143	-5.847	5.847	ME	0.00809418589352007	0.013	0.013	0.00258303831974571	0.00551114757377436	0.00349442045165571	TRUE	FALSE	0.00112310225925143
GRM3_AMP - ERBB2_AMP	GRM3_AMP	ERBB2_AMP	AMP	AMP	AMP - AMP	102	290	0.0139287177386317	0.0396012563157176	4	72	0.0555555555555556	12.548	0.174277777777778	-8.548	8.548	ME	0.00427647390535235	0.001	0.001	0.000632395327545554	0.0036440785778068	0.00228517267064421	TRUE	FALSE	GRM3	ERBB2	7q21.11-q21.12	17q12	7q21	17q12	7q	17q	21	12	ERBB2_AMP	GRM3_AMP	0.149031472312775	0.211353724370844	0.000551594721316836	GRM3_AMP	ERBB2_AMP	AMP	AMP	AMP - AMP	88	230	0.0231761917303134	0.0605741374769555	4	63	0.0634920634920635	10.925	0.173412698412698	-6.925	6.925	ME	0.0081196847337841	0.004	0.004	0.00223582335478389	0.00588386137900021	0.00356982364268619	TRUE	FALSE	0.00140387782406428
GRM3_AMP - FGFR1_AMP	GRM3_AMP	FGFR1_AMP	AMP	AMP	AMP - AMP	102	327	0.0139287177386317	0.0446538303973781	2	82	0.024390243902439	17.337	0.211426829268293	-15.337	15.337	ME	0.00693738791087889	0	0	0.000554790099153768	0.00638259781172512	0.00512536706131784	TRUE	TRUE	GRM3	FGFR1	7q21.11-q21.12	8p11.23	7q21	8p11	7q	8p	21	11	FGFR1_AMP	GRM3_AMP	0.0119331954900976	0.0424456743062507	0.000621970599553812	GRM3_AMP	FGFR1_AMP	AMP	AMP	AMP - AMP	88	230	0.0231761917303134	0.0605741374769555	2	64	0.03125	12.15	0.18984375	-10.15	10.15	ME	0.0102090093190533	0	0	0.000982698930728221	0.00922631038832511	0.0073099829678559	TRUE	TRUE	0.00140387782406428
GRM3_AMP - MET_AMP	GRM3_AMP	MET_AMP	AMP	AMP	AMP - AMP	102	97	0.0139287177386317	0.0132459374573262	22	59	0.372881355932203	5.974	0.101254237288136	16.026	16.026	CO	0.0133619212623328	0	0	0.000648934623719122	0.0127129866386136	0.0122496389562644	TRUE	TRUE	GRM3	MET	7q21.11-q21.12	7q31.2	7q21	7q31	7q	7q	21	31	MET_AMP	GRM3_AMP	1.66755498298699e-13	1.62586610841231e-12	0.000184498924026666	GRM3_AMP	MET_AMP	AMP	AMP	AMP - AMP	88	85	0.0231761917303134	0.0223860942849618	21	50	0.42	5.471	0.10942	15.529	15.529	CO	0.0149630673236202	0	0	0.00215776366621839	0.0128053036574018	0.0141936630703992	TRUE	TRUE	0.000518824413241148
GRM3_AMP - RAD51D_AMP	GRM3_AMP	RAD51D_AMP	AMP	AMP	AMP - AMP	102	50	0.0139287177386317	0.00682780281305476	0	31	0	2.947	0.0950645161290323	-2.947	2.947	ME	0.00354777721839106	0.03	0.03	0.000382863975692427	0.00316491324269863	0.00224723498856205	TRUE	FALSE	GRM3	RAD51D	7q21.11-q21.12	17q12	7q21	17q12	7q	17q	21	12	RAD51D_AMP	GRM3_AMP	0.275420067828746	0.30472007504457	9.51025381580752e-05	GRM3_AMP	RAD51D_AMP	AMP	AMP	AMP - AMP	88	49	0.0231761917303134	0.0129049249407427	0	28	0	3.01	0.1075	-3.01	3.01	ME	0.00767002528299515	0.036	0.036	0.00163026229306512	0.00603976298993003	0.00431467557909325	TRUE	TRUE	0.000299087014691956
GRM4_AMP - MDM2_AMP	GRM4_AMP	MDM2_AMP	AMP	AMP	AMP - AMP	72	236	0.00983203605079885	0.0322272292776185	2	56	0.0357142857142857	7.995	0.142767857142857	-5.995	5.995	ME	0.00461207415607401	0.003	0.003	0.000933517758900493	0.00367855639717352	0.00268713511597692	TRUE	TRUE	GRM4	MDM2	6p21.31	12q15	6p21	12q15	6p	12q	21	15	MDM2_AMP	GRM4_AMP	0.207648356180702	0.263156137679234	0.000316859280074905	GRM4_AMP	MDM2_AMP	AMP	AMP	AMP - AMP	68	186	0.0179088754279694	0.0489860416117988	2	49	0.0408163265306122	7.263	0.148224489795918	-5.263	5.263	ME	0.00846121650719905	0.005	0.005	0.00219914812232952	0.00626206838486953	0.00453964760227355	TRUE	TRUE	0.000877284916935032
GRM5_AMP - CCNE1_AMP	GRM5_AMP	CCNE1_AMP	AMP	AMP	AMP - AMP	85	292	0.0116072647821931	0.0398743684282398	2	65	0.0307692307692308	12.239	0.188292307692308	-10.239	10.239	ME	0.00587409162227903	0.001	0.001	0.000370541423567738	0.00550355019871129	0.00453180912068207	TRUE	TRUE	GRM5	CCNE1	11q14.2-q14.3	19q12	11q14	19q12	11q	19q	14	12	CCNE1_AMP	GRM5_AMP	0.0568471426655749	0.112255117162401	0.0004628323523693	GRM5_AMP	CCNE1_AMP	AMP	AMP	AMP - AMP	68	242	0.0179088754279694	0.0637345272583619	2	48	0.0416666666666667	9.08	0.189166666666667	-7.08	7.08	ME	0.008879511238577	0	0	0.00197512335760264	0.00690438788097436	0.00530567902408699	TRUE	TRUE	0.00114141370913053
GRM5_AMP - KMT2A_AMP	GRM5_AMP	KMT2A_AMP	AMP	AMP	AMP - AMP	85	53	0.0116072647821931	0.00723747098183804	9	19	0.473684210526316	1.916	0.100842105263158	7.084	7.084	CO	0.00419867416354741	0	0	0.00112015902326185	0.00307851514028556	0.00453610796562725	TRUE	TRUE	GRM5	KMT2A	11q14.2-q14.3	11q23.3	11q14	11q23	11q	11q	14	23	KMT2A_AMP	GRM5_AMP	3.17688463946642e-06	2.06497501565317e-05	8.40072420396332e-05	GRM5_AMP	KMT2A_AMP	AMP	AMP	AMP - AMP	68	46	0.0179088754279694	0.0121148274953911	7	15	0.466666666666667	1.493	0.0995333333333333	5.507	5.507	CO	0.0023583511675116	0.548	0	0.00264548533876263	-0.000287134171251036	0.00317670192899699	FALSE	FALSE	0.000216962936446298
